Time,Open,High,Low,Last,Change,%Chg,Volume
07/31/2020,325.86,326.63,321.33,326.52,2.56,+0.79%,85210704
07/30/2020,321.9,324.41,319.64,323.96,-1.16,-0.36%,61861700
07/29/2020,322.12,325.73,322.075,325.12,3.95,+1.23%,48454100
07/28/2020,322.43,323.64,320.85,321.17,-2.05,-0.63%,57494900
07/27/2020,321.63,323.41,320.775,323.22,2.34,+0.73%,48292900
07/24/2020,320.95,321.99,319.246,320.88,-2.08,-0.64%,73766496
07/23/2020,326.47,327.23,321.48,322.96,-3.9,-1.19%,75737904
07/22/2020,324.62,327.2,324.5,326.86,1.85,+0.57%,57792900
07/21/2020,326.45,326.93,323.94,325.01,0.69,+0.21%,57498900
07/20/2020,321.43,325.13,320.62,324.32,2.6,+0.81%,56308800
07/17/2020,321.88,322.57,319.735,321.72,0.93,+0.29%,62774900
07/16/2020,319.79,321.28,319.09,320.79,-1.06,-0.33%,54622500
07/15/2020,322.41,323.04,319.265,321.85,2.93,+0.92%,87196496
07/14/2020,313.3,319.76,312,318.92,4.08,+1.30%,93656896
07/13/2020,320.13,322.71,314.13,314.84,-2.75,-0.87%,102997400
